unit_id,period,has_accessible_station,treatment_year,disability_rate,senior_rate,poverty_rate,total_population,accessible_station_count,nearest_accessible_distance_m,need_score
36005000100,2017,False,,0.0000,0.0235,0.0000,3538,0,4055.1,0.0078
36005000100,2018,False,,0.0000,0.0235,0.0000,3538,0,4055.1,0.0078
36005000100,2019,False,,0.0000,0.0235,0.0000,3538,0,2950.2,0.0078
36005000100,2020,False,,0.0000,0.0235,0.0000,3538,0,2950.2,0.0078
36005000100,2021,False,,0.0000,0.0235,0.0000,3538,0,2950.2,0.0078
36005000100,2022,False,,0.0000,0.0235,0.0000,3538,0,2950.2,0.0078
36005000100,2023,False,,0.0000,0.0235,0.0000,3538,0,2950.2,0.0078
36005000200,2017,False,,0.0748,0.1381,0.0729,5177,0,2503.6,0.0953
36005000200,2018,False,,0.0748,0.1381,0.0729,5177,0,2503.6,0.0953
36005000200,2019,False,,0.0748,0.1381,0.0729,5177,0,2503.6,0.0953
36005000200,2020,False,,0.0748,0.1381,0.0729,5177,0,2503.6,0.0953
36005000200,2021,False,,0.0748,0.1381,0.0729,5177,0,2503.6,0.0953
36005000200,2022,False,,0.0748,0.1381,0.0729,5177,0,2503.6,0.0953
36005000200,2023,False,,0.0748,0.1381,0.0729,5177,0,2503.6,0.0953
36005000400,2017,False,,0.0819,0.1335,0.0317,6481,0,2612.7,0.0824
36005000400,2018,False,,0.0819,0.1335,0.0317,6481,0,2612.7,0.0824
36005000400,2019,False,,0.0819,0.1335,0.0317,6481,0,2612.7,0.0824
36005000400,2020,False,,0.0819,0.1335,0.0317,6481,0,2612.7,0.0824
36005000400,2021,False,,0.0819,0.1335,0.0317,6481,0,2612.7,0.0824
36005000400,2022,False,,0.0819,0.1335,0.0317,6481,0,2612.7,0.0824
36005000400,2023,False,,0.0819,0.1335,0.0317,6481,0,2612.7,0.0824
36005001600,2017,False,,0.1293,0.2068,0.1044,6011,0,1615.3,0.1468
36005001600,2018,False,,0.1293,0.2068,0.1044,6011,0,1615.3,0.1468
36005001600,2019,False,,0.1293,0.2068,0.1044,6011,0,1615.3,0.1468
36005001600,2020,False,,0.1293,0.2068,0.1044,6011,0,1615.3,0.1468
36005001600,2021,False,,0.1293,0.2068,0.1044,6011,0,1615.3,0.1468
36005001600,2022,False,,0.1293,0.2068,0.1044,6011,0,1615.3,0.1468
36005001600,2023,False,,0.1293,0.2068,0.1044,6011,0,1615.3,0.1468
36005001901,2017,False,,0.0461,0.0146,0.0730,2401,0,1353.1,0.0446
36005001901,2018,False,,0.0461,0.0146,0.0730,2401,0,1353.1,0.0446
36005001901,2019,False,,0.0461,0.0146,0.0730,2401,0,1353.1,0.0446
36005001901,2020,False,,0.0461,0.0146,0.0730,2401,0,1352.2,0.0446
36005001901,2021,False,,0.0461,0.0146,0.0730,2401,0,853.3,0.0446
36005001901,2022,False,,0.0461,0.0146,0.0730,2401,0,853.3,0.0446
36005001901,2023,False,,0.0461,0.0146,0.0730,2401,0,853.3,0.0446
36005001902,2017,False,,0.0279,0.0354,0.0689,1979,0,1390.2,0.0441
36005001902,2018,False,,0.0279,0.0354,0.0689,1979,0,1390.2,0.0441
36005001902,2019,False,,0.0279,0.0354,0.0689,1979,0,1367.9,0.0441
36005001902,2020,False,,0.0279,0.0354,0.0689,1979,0,1367.9,0.0441
36005001902,2021,False,,0.0279,0.0354,0.0689,1979,0,1367.9,0.0441
36005001902,2022,False,,0.0279,0.0354,0.0689,1979,0,1367.9,0.0441
36005001902,2023,False,,0.0279,0.0354,0.0689,1979,0,1367.9,0.0441
36005001903,2017,False,,0.0000,0.0000,0.0000,0,0,1612.7,0.0000
36005001903,2018,False,,0.0000,0.0000,0.0000,0,0,1612.7,0.0000
36005001903,2019,False,,0.0000,0.0000,0.0000,0,0,1314.8,0.0000
36005001903,2020,False,,0.0000,0.0000,0.0000,0,0,1314.8,0.0000
36005001903,2021,False,,0.0000,0.0000,0.0000,0,0,1314.8,0.0000
36005001903,2022,False,,0.0000,0.0000,0.0000,0,0,1314.8,0.0000
36005001903,2023,False,,0.0000,0.0000,0.0000,0,0,1314.8,0.0000
36005001904,2017,False,,0.0000,0.0000,0.0000,0,0,2458.0,0.0000
36005001904,2018,False,,0.0000,0.0000,0.0000,0,0,2458.0,0.0000
36005001904,2019,False,,0.0000,0.0000,0.0000,0,0,1475.5,0.0000
36005001904,2020,False,,0.0000,0.0000,0.0000,0,0,1475.5,0.0000
36005001904,2021,False,,0.0000,0.0000,0.0000,0,0,1475.5,0.0000
36005001904,2022,False,,0.0000,0.0000,0.0000,0,0,1475.5,0.0000
